wall_time,elapsed_sec,nodes,edges,edges_per_sec_window,max_out_degree,max_in_degree
1762621035.400525,20.962302923202515,97,108,17.8,61,2
1762621035.406998,20.968775749206543,98,109,18.0,62,2
1762621035.413874,20.975651741027832,99,110,18.2,63,2
1762621035.420224,20.982001781463623,100,111,18.4,64,2
1762621035.4258401,20.98761796951294,100,112,18.6,65,2
1762621035.432755,20.994532823562622,101,113,18.8,66,2
1762621035.4387689,21.00054669380188,102,114,19.0,67,2
1762621035.444281,21.006058931350708,102,115,19.2,68,2
1762621035.455327,21.017104864120483,102,116,19.4,69,2
1762621035.458434,21.020211935043335,103,117,19.6,70,2
1762621035.4649348,21.026712656021118,104,118,19.8,71,2
1762621035.470366,21.03214383125305,105,119,20.0,72,2
1762621035.4759932,21.037770986557007,106,120,20.2,73,2
1762621035.482892,21.04466986656189,107,121,20.4,74,2
1762621035.4894059,21.051183700561523,108,122,20.6,75,2
1762621035.4949539,21.056731700897217,109,123,20.8,76,2
1762621035.5021179,21.06389570236206,110,124,21.0,77,2
1762621035.508121,21.06989884376526,111,125,21.2,78,2
1762621035.514494,21.076271772384644,112,126,21.4,79,2
1762621035.5244732,21.08625102043152,113,127,21.6,80,2
1762621035.527334,21.089111804962158,114,128,21.8,81,2
1762621035.5339699,21.095747709274292,115,129,22.0,82,2
1762621035.540194,21.101971864700317,116,130,22.2,83,2
1762621035.546868,21.108645915985107,116,131,22.4,84,2
1762621035.5562959,21.11807370185852,117,132,22.6,85,2
1762621035.560225,21.122002840042114,118,133,22.8,86,2
1762621035.567764,21.129541873931885,119,134,23.0,87,2
1762621035.572972,21.13474988937378,120,135,23.2,88,2
1762621035.579196,21.140973806381226,121,136,23.4,89,2
1762621035.587522,21.14929986000061,122,137,23.6,90,2
1762621035.592778,21.154555797576904,123,138,23.8,90,2
1762621035.5986938,21.16047167778015,124,139,24.0,90,2
1762621035.604828,21.166605710983276,124,140,24.2,90,3
1762621035.6113439,21.173121690750122,124,141,24.4,90,3
1762621035.6192179,21.18099570274353,125,142,24.6,90,3
1762621035.6252842,21.18706202507019,125,143,24.8,90,3
1762621035.6311119,21.19288969039917,126,144,25.0,90,3
1762621035.637274,21.19905185699463,126,145,25.2,90,3
1762621035.643994,21.205771923065186,127,146,25.4,90,3
1762621035.6503081,21.212085962295532,128,147,25.6,90,3
1762621035.6598809,21.22165870666504,129,148,25.8,90,3
1762621035.663436,21.225213766098022,130,149,26.0,90,3
1762621035.6697118,21.231489658355713,130,150,26.2,90,3
1762621035.675989,21.2377667427063,130,151,26.4,90,3
1762621035.682797,21.244574785232544,131,152,26.6,90,3
1762621035.689187,21.250964879989624,132,153,26.8,90,3
1762621035.69797,21.259747743606567,132,154,27.0,90,3
1762621035.700128,21.261905908584595,132,155,27.2,90,3
1762621035.706362,21.268139839172363,133,156,27.4,90,3
1762621035.713684,21.27546191215515,133,157,27.6,90,3
1762621035.720459,21.2822368144989,133,158,27.8,90,3
1762621035.727437,21.289214849472046,133,159,28.0,90,3
1762621035.733977,21.29575490951538,133,160,28.2,90,3
1762621035.739908,21.30168581008911,134,161,28.4,90,3
1762621035.746658,21.308435916900635,134,162,28.6,90,3
1762621035.75305,21.314827919006348,134,163,28.8,90,3
1762621035.7609951,21.322772979736328,134,164,29.0,90,3
1762621035.766025,21.327802896499634,134,165,29.2,90,3
1762621035.771478,21.333255767822266,134,166,29.4,90,3
1762621035.7777011,21.339478969573975,135,167,29.6,90,3
1762621035.784333,21.346110820770264,135,168,29.8,90,3
1762621035.7923672,21.354145050048828,135,169,30.0,90,3
1762621035.798764,21.360541820526123,135,170,30.2,90,3
1762621035.8036711,21.36544895172119,135,171,30.4,90,4
1762621035.80971,21.371487855911255,135,172,30.6,90,4
1762621035.8167691,21.378546953201294,135,173,30.8,90,4
1762621035.825307,21.38708472251892,135,174,31.0,90,4
1762621035.82966,21.391437768936157,135,175,31.2,90,4
1762621035.8354821,21.397259950637817,135,176,31.4,90,4
1762621035.8419032,21.40368103981018,136,177,31.6,90,4
1762621035.848649,21.41042685508728,136,178,31.8,90,4
1762621035.8557818,21.41755962371826,137,179,32.0,90,4
1762621035.863507,21.42528486251831,138,180,32.2,90,4
1762621035.866899,21.42867684364319,138,181,32.4,90,4
1762621035.872582,21.434359788894653,138,182,32.6,90,4
1762621035.8789399,21.440717697143555,138,183,32.8,90,4
1762621035.884255,21.446032762527466,139,184,33.0,90,4
1762621035.891134,21.452911853790283,140,185,33.2,90,4
1762621035.897831,21.459608793258667,141,186,33.4,90,4
1762621035.9036238,21.465401649475098,142,187,33.6,90,4
1762621035.909367,21.471144914627075,143,188,33.8,90,4
1762621035.916427,21.47820472717285,143,189,34.0,90,4
1762621035.9235961,21.485373973846436,143,190,34.2,90,4
1762621035.931563,21.493340730667114,143,191,34.4,90,4
1762621035.935018,21.496795892715454,143,192,34.6,90,4
1762621035.94121,21.5029878616333,143,193,34.8,90,4
1762621035.9478998,21.50967764854431,143,194,35.0,90,4
1762621035.953832,21.515609741210938,143,195,35.2,90,4
1762621035.963661,21.52543878555298,143,196,35.4,90,4
1762621035.9670389,21.52881669998169,143,197,35.6,90,5
1762621035.97372,21.535497903823853,143,198,35.8,90,5
1762621035.979771,21.54154872894287,144,199,36.0,90,5
1762621035.985292,21.547069787979126,144,200,36.2,90,5
1762621035.99245,21.554227828979492,144,201,36.4,90,5
1762621035.998858,21.560635805130005,144,202,36.6,90,5
1762621036.003781,21.565558910369873,144,203,36.8,90,5
1762621036.010012,21.571789741516113,144,204,37.0,90,5
1762621036.0166788,21.57845664024353,144,205,37.2,90,5
1762621036.021937,21.583714723587036,144,206,37.4,90,5
1762621036.0312278,21.593005657196045,144,207,37.6,90,5
1762621036.033359,21.595136880874634,144,208,37.8,90,5
1762621036.039176,21.600953817367554,144,209,38.0,90,5
1762621036.046278,21.60805583000183,144,210,38.2,90,5
1762621036.0529122,21.61469006538391,144,211,38.4,90,5
1762621036.060128,21.62190580368042,144,212,38.6,90,5
1762621036.066453,21.628230810165405,144,213,38.8,90,5
1762621036.0713851,21.63316297531128,144,214,39.0,90,5
1762621036.077711,21.63948893547058,145,215,39.2,90,5
1762621036.0844412,21.64621901512146,146,216,39.4,90,5
1762621036.090537,21.65231490135193,146,217,39.6,90,5
1762621036.0983338,21.660111665725708,146,218,39.8,90,5
1762621036.102574,21.66435194015503,146,219,40.0,90,5
1762621036.108921,21.670698881149292,146,220,40.2,90,5
1762621036.1158452,21.67762303352356,146,221,40.4,90,5
1762621036.122175,21.683952808380127,146,222,40.6,90,5
1762621036.13227,21.694047927856445,146,223,40.8,90,5
1762621036.134955,21.696732759475708,146,224,41.0,90,5
1762621036.1406422,21.702419996261597,147,225,41.2,90,5
1762621036.148114,21.70989179611206,147,226,41.4,90,5
1762621036.153876,21.715653896331787,147,227,41.6,90,5
1762621036.160874,21.722651720046997,147,228,41.8,90,5
1762621036.166294,21.728071928024292,148,229,42.0,90,5
1762621036.1720908,21.73386859893799,149,230,42.2,90,5
1762621036.1782668,21.740044593811035,150,231,42.4,90,5
1762621036.185187,21.746964931488037,150,232,42.6,90,5
1762621036.1911821,21.752959966659546,151,233,42.8,90,5
1762621036.200352,21.76212978363037,152,234,43.0,90,5
1762621036.204347,21.766124725341797,152,235,43.2,90,5
1762621036.21047,21.772247791290283,153,236,43.4,90,5
1762621036.217675,21.779452800750732,153,237,43.6,90,5
1762621036.224561,21.786338806152344,154,238,43.8,90,5
1762621036.233273,21.795050859451294,154,239,44.0,90,5
1762621036.235968,21.797745943069458,154,240,44.2,90,5
1762621036.242259,21.804036855697632,155,241,44.4,90,5
1762621036.249374,21.81115174293518,156,242,44.6,90,5
1762621036.255525,21.817302942276,156,243,44.8,90,5
1762621036.263338,21.82511591911316,156,244,45.0,90,5
1762621036.2728388,21.834616661071777,156,245,45.2,90,5
1762621036.2785642,21.840342044830322,157,246,45.4,90,5
1762621036.285223,21.84700083732605,157,247,45.6,90,5
1762621036.2914891,21.853266954421997,158,248,45.8,90,5
1762621036.299967,21.86174488067627,158,249,46.0,90,5
1762621036.3041139,21.865891695022583,159,250,46.2,90,5
1762621036.309691,21.871468782424927,160,251,46.4,90,5
1762621036.3168378,21.878615617752075,160,252,46.6,90,5
1762621036.322582,21.88435983657837,160,253,46.8,90,5
1762621036.327731,21.889508724212646,161,254,47.0,90,5
1762621036.335837,21.89761471748352,162,255,47.2,90,5
1762621036.3405209,21.90229868888855,162,256,47.4,90,5
1762621036.3476,21.909377813339233,163,257,47.6,90,5
1762621036.353017,21.914794921875,164,258,47.8,90,5
1762621036.35883,21.920607805252075,164,259,48.0,90,5
1762621036.366119,21.927896738052368,164,260,48.2,90,5
1762621036.371684,21.933461904525757,164,261,48.4,91,5
1762621036.377643,21.93942093849182,164,262,48.6,92,5
1762621036.384306,21.946083784103394,164,263,48.8,93,5
1762621036.3901892,21.951967000961304,164,264,49.0,94,5
1762621036.398226,21.96000385284424,164,265,49.2,95,5
1762621036.4033651,21.965142965316772,165,266,49.4,96,5
1762621036.409101,21.970878839492798,166,267,49.6,97,5
1762621036.415124,21.97690176963806,166,268,49.8,98,5
1762621036.420259,21.98203682899475,166,269,50.0,99,5
1762621036.425774,21.98755192756653,166,270,50.2,100,5
1762621036.433408,21.99518585205078,166,271,50.4,101,5
1762621036.440022,22.001799821853638,166,272,50.6,102,5
1762621036.445447,22.007224798202515,167,273,50.8,103,5
1762621036.451603,22.013380765914917,167,274,51.0,104,5
1762621036.458081,22.019858837127686,168,275,51.2,105,5
1762621036.4631412,22.024919033050537,169,276,51.4,106,5
1762621036.472573,22.034350872039795,170,277,51.6,107,5
1762621036.477876,22.039653778076172,171,278,51.8,108,5
1762621036.48399,22.045767784118652,172,279,52.0,109,5
1762621036.491149,22.052926778793335,173,280,52.2,110,5
1762621036.4969249,22.05870270729065,174,281,52.4,111,5
1762621036.503401,22.065178871154785,175,282,52.6,112,5
1762621036.509635,22.071412801742554,175,283,52.8,113,5
1762621036.515146,22.076923847198486,175,284,53.0,114,5
1762621036.5229619,22.084739685058594,176,285,53.2,115,5
1762621036.5289228,22.09070062637329,176,286,53.4,116,5
1762621036.537974,22.099751949310303,177,287,53.6,117,5
1762621036.541253,22.103030920028687,177,288,53.8,118,5
1762621036.547369,22.1091468334198,178,289,54.0,119,5
1762621036.553826,22.115603923797607,179,290,54.2,120,5
1762621036.560235,22.122012853622437,180,291,54.4,121,5
1762621036.566667,22.12844491004944,181,292,54.6,122,5
1762621036.573092,22.134869813919067,181,293,54.8,123,5
1762621036.579445,22.141222715377808,182,294,55.0,124,5
1762621036.585693,22.147470712661743,183,295,55.2,125,5
1762621036.591881,22.153658866882324,184,296,55.4,126,5
1762621036.5991108,22.160888671875,184,297,55.6,127,5
1762621036.605836,22.167613744735718,184,298,55.8,128,5
1762621036.6110332,22.172811031341553,184,299,56.0,129,5
1762621036.6174002,22.17917799949646,185,300,56.2,130,5
1762621036.623015,22.1847927570343,186,301,56.4,131,5
1762621036.629295,22.191072940826416,186,302,56.6,132,5
1762621036.6359522,22.19773006439209,187,303,56.8,133,5
1762621036.642368,22.204145908355713,187,304,57.0,134,5
1762621036.648973,22.210750818252563,187,305,57.2,135,5
1762621036.654588,22.216365814208984,187,306,57.4,136,5
1762621036.660183,22.22196078300476,188,307,57.6,137,5
1762621036.666942,22.22871971130371,188,308,57.8,138,5
1762621036.672999,22.234776735305786,188,309,58.0,139,5
1762621036.678845,22.240622758865356,188,310,58.2,140,5
1762621036.6849978,22.24677562713623,188,311,58.4,141,5
1762621036.691499,22.253276824951172,189,312,58.6,142,5
1762621036.697768,22.25954580307007,189,313,58.8,143,5
1762621036.7046962,22.26647400856018,190,314,59.0,144,5
1762621036.711317,22.27309489250183,191,315,59.2,145,5
1762621036.7177558,22.279533624649048,192,316,59.4,146,5
1762621036.723951,22.285728931427002,193,317,59.6,147,5
1762621036.730096,22.291873931884766,194,318,59.8,148,5
1762621036.7377548,22.299532651901245,195,319,60.0,149,5
1762621036.743757,22.305534839630127,195,320,60.2,150,5
1762621036.749813,22.311590909957886,196,321,60.4,151,5
1762621036.7549171,22.316694974899292,197,322,60.6,152,5
1762621036.760042,22.32181978225708,197,323,60.8,153,5
1762621036.76769,22.3294677734375,198,324,61.0,154,5
1762621036.7744808,22.33625864982605,199,325,61.2,155,5
1762621036.7801359,22.34191370010376,200,326,61.4,156,5
1762621036.7861671,22.347944974899292,201,327,61.6,157,5
1762621036.7922912,22.354068994522095,202,328,61.8,158,5
1762621036.799635,22.36141276359558,202,329,62.0,159,5
1762621036.806976,22.368753910064697,203,330,62.2,160,5
1762621036.8128152,22.374593019485474,204,331,62.4,161,5
1762621036.818696,22.380473852157593,204,332,62.6,162,5
1762621036.825006,22.386783838272095,205,333,62.8,163,5
1762621036.831464,22.39324188232422,206,334,63.0,164,5
1762621036.838778,22.400555849075317,207,335,63.2,165,5
1762621036.8442729,22.40605068206787,208,336,63.4,166,5
1762621036.8507688,22.412546634674072,209,337,63.6,167,5
1762621036.8575912,22.419368982315063,210,338,63.8,168,5
1762621036.863591,22.425368785858154,211,339,64.0,169,5
1762621036.869528,22.43130588531494,212,340,64.2,170,5
1762621036.87582,22.43759775161743,213,341,64.4,171,5
1762621036.8822038,22.443981647491455,214,342,64.6,172,5
1762621036.887476,22.449253797531128,215,343,64.8,173,5
1762621036.893706,22.45548391342163,215,344,65.0,174,5
1762621036.90003,22.46180772781372,215,345,65.2,175,5
1762621036.9064052,22.468183040618896,215,346,65.4,176,5
1762621036.913545,22.475322723388672,215,347,65.6,177,5
1762621036.918735,22.480512857437134,215,348,65.8,178,5
1762621036.925229,22.487006902694702,215,349,66.0,179,5
1762621036.931533,22.493310928344727,215,350,66.2,180,5
1762621036.937732,22.499509811401367,215,351,66.4,181,5
1762621036.944435,22.50621271133423,215,352,66.6,182,5
1762621036.950915,22.51269292831421,215,353,66.8,183,5
1762621036.9571352,22.51891303062439,215,354,67.0,184,5
1762621036.963393,22.52517080307007,215,355,67.2,185,5
1762621036.96887,22.53064775466919,215,356,67.4,186,5
1762621036.9750159,22.53679370880127,215,357,67.6,187,5
1762621036.981733,22.543510913848877,215,358,67.8,188,5
1762621036.987736,22.549513816833496,215,359,68.0,189,5
1762621036.9946399,22.55641770362854,215,360,68.2,190,5
1762621037.00085,22.5626277923584,215,361,68.4,191,5
1762621037.007276,22.569053888320923,215,362,68.6,192,5
1762621037.017005,22.57878279685974,215,363,68.8,193,5
1762621037.0223281,22.584105968475342,216,364,69.0,194,5
1762621037.0283241,22.590101957321167,217,365,69.2,195,5
1762621037.034994,22.596771717071533,218,366,69.4,196,5
1762621037.041208,22.602985858917236,219,367,69.6,197,5
1762621037.049769,22.611546754837036,220,368,69.8,198,5
1762621037.0546129,22.616390705108643,221,369,70.0,199,5
1762621037.0615091,22.623286962509155,222,370,70.2,200,5
1762621037.0676212,22.629399061203003,223,371,70.4,201,5
1762621037.073505,22.63528275489807,224,372,70.6,202,5
1762621037.080092,22.64186978340149,225,373,70.8,203,5
1762621037.086337,22.648114919662476,226,374,71.0,204,5
1762621037.092007,22.65378475189209,227,375,71.2,205,5
1762621037.098598,22.660375833511353,228,376,71.4,206,5
1762621037.104586,22.66636371612549,229,377,71.6,207,5
1762621037.110197,22.671974897384644,230,378,71.8,208,5
1762621037.1182778,22.680055618286133,231,379,72.0,209,5
1762621037.124156,22.685933828353882,232,380,72.2,210,5
1762621037.1308002,22.692578077316284,233,381,72.4,211,5
1762621037.13594,22.697717905044556,234,382,72.6,212,5
1762621037.142505,22.704282760620117,235,383,72.8,213,5
1762621037.15024,22.71201777458191,236,384,73.0,214,5
1762621037.157839,22.719616889953613,237,385,73.2,215,5
1762621037.16412,22.725897789001465,238,386,73.4,216,5
1762621037.169847,22.731624841690063,239,387,73.6,217,5
1762621037.1756501,22.737427949905396,240,388,73.8,218,5
1762621037.181121,22.74289894104004,241,389,74.0,219,5
1762621037.1910038,22.752781629562378,242,390,74.2,220,5
1762621037.19419,22.75596785545349,243,391,74.4,221,5
1762621037.200924,22.762701749801636,244,392,74.6,222,5
1762621037.20733,22.769107818603516,245,393,74.8,223,5
1762621037.21354,22.775317907333374,246,394,75.0,224,5
1762621037.220447,22.782224893569946,247,395,75.2,225,5
1762621037.226464,22.788241863250732,248,396,75.4,226,5
1762621037.233014,22.79479193687439,249,397,75.6,227,5
1762621037.2395542,22.801331996917725,250,398,75.8,228,5
1762621037.245653,22.807430744171143,251,399,76.0,229,5
1762621037.252087,22.813864946365356,252,400,76.2,230,5
1762621037.259695,22.821472883224487,253,401,76.4,231,5
1762621037.265246,22.82702374458313,254,402,76.6,232,5
1762621037.271816,22.83359384536743,255,403,76.8,233,5
1762621037.2780821,22.83985996246338,256,404,77.0,234,5
1762621037.284506,22.84628391265869,257,405,77.2,235,5
1762621037.290881,22.85265874862671,258,406,77.4,236,5
1762621037.298128,22.85990571975708,259,407,77.6,237,5
1762621037.3034618,22.86523962020874,260,408,77.8,238,5
1762621037.309689,22.871466875076294,261,409,78.0,239,5
1762621037.317036,22.87881374359131,262,410,78.2,240,5
1762621037.322706,22.884483814239502,263,411,78.4,241,5
1762621037.329555,22.891332864761353,264,412,78.6,242,5
1762621037.335553,22.89733076095581,265,413,78.8,243,5
1762621037.342241,22.904018878936768,266,414,79.0,244,5
1762621037.348825,22.910602807998657,267,415,79.2,245,5
1762621037.3553438,22.917121648788452,268,416,79.4,246,5
1762621037.361897,22.923674821853638,269,417,79.6,247,5
1762621037.368209,22.929986715316772,270,418,79.8,248,5
1762621037.373742,22.93551993370056,271,419,80.0,249,5
1762621037.380043,22.941820859909058,272,420,80.2,250,5
1762621037.385879,22.947656869888306,273,421,80.4,251,5
1762621037.3940392,22.955816984176636,274,422,80.6,252,5
1762621037.400171,22.96194887161255,275,423,80.8,253,5
1762621037.405802,22.96757984161377,276,424,81.0,254,5
1762621037.412152,22.97392988204956,277,425,81.2,255,5
1762621037.4185011,22.980278968811035,278,426,81.4,256,5
1762621037.4252958,22.98707365989685,279,427,81.6,257,5
1762621037.432374,22.994151830673218,280,428,81.8,258,5
1762621037.438136,22.999913930892944,281,429,82.0,259,5
1762621037.443808,23.00558590888977,282,430,82.2,260,5
1762621037.450529,23.012306928634644,283,431,82.4,261,5
1762621037.457433,23.019210815429688,284,432,82.6,262,5
1762621037.46383,23.02560782432556,285,433,82.8,263,5
1762621037.468965,23.03074288368225,286,434,83.0,264,5
1762621037.475861,23.037638902664185,287,435,83.2,265,5
1762621037.4818408,23.04361867904663,288,436,83.4,266,5
1762621037.48679,23.04856777191162,289,437,83.6,267,5
1762621037.492844,23.054621934890747,290,438,83.8,268,5
1762621037.499413,23.061190843582153,291,439,84.0,269,5
1762621037.50687,23.068647861480713,292,440,84.2,270,5
1762621037.5124412,23.07421898841858,293,441,84.4,271,5
1762621037.51873,23.08050775527954,294,442,84.6,272,5
1762621037.5251331,23.08691096305847,295,443,84.8,273,5
1762621037.530992,23.092769861221313,296,444,85.0,274,5
1762621037.537455,23.0992329120636,297,445,85.2,275,5
1762621037.5439181,23.105695962905884,298,446,85.4,276,5
1762621037.551296,23.11307382583618,299,447,85.6,277,5
1762621037.556253,23.118030786514282,300,448,85.8,278,5
1762621037.562651,23.124428749084473,301,449,86.0,279,5
1762621037.56814,23.129917860031128,302,450,86.2,280,5
1762621037.5752242,23.137001991271973,303,451,86.4,281,5
1762621037.581662,23.143439769744873,304,452,86.6,282,5
1762621037.588137,23.149914741516113,305,453,86.8,283,5
1762621037.59435,23.1561279296875,306,454,87.0,284,5
1762621037.6014779,23.16325569152832,307,455,87.2,285,5
1762621037.6076531,23.16943097114563,308,456,87.4,286,5
1762621037.613908,23.17568588256836,309,457,87.6,287,5
1762621037.619445,23.181222915649414,310,458,87.8,288,5
1762621037.626637,23.188414812088013,311,459,88.0,289,5
1762621037.6324081,23.194185972213745,312,460,88.2,290,5
1762621037.638784,23.20056176185608,313,461,88.4,291,5
1762621037.6453462,23.20712399482727,314,462,88.6,292,5
1762621037.6517918,23.21356964111328,315,463,88.8,293,5
1762621037.657341,23.21911883354187,316,464,89.0,294,5
1762621037.663578,23.225355863571167,317,465,89.2,295,5
1762621037.6695051,23.231282949447632,318,466,89.4,296,5
1762621037.676849,23.238626718521118,319,467,89.6,297,5
1762621037.683321,23.24509882926941,320,468,89.8,298,5
1762621037.689986,23.251763820648193,321,469,90.0,299,5
1762621037.6957812,23.257559061050415,322,470,90.2,300,5
1762621037.702175,23.26395273208618,323,471,90.4,301,5
1762621037.709064,23.27084183692932,324,472,90.6,302,5
1762621037.7142248,23.276002645492554,325,473,90.8,303,5
1762621037.721365,23.283142805099487,325,474,91.0,304,5
1762621037.727,23.288777828216553,326,475,91.2,305,5
1762621037.734334,23.296111822128296,327,476,91.4,306,5
1762621037.740233,23.302010774612427,328,477,91.6,307,5
1762621037.746978,23.30875587463379,329,478,91.8,308,5
1762621037.751911,23.3136887550354,330,479,92.0,309,5
1762621037.758925,23.32070279121399,331,480,92.2,310,5
1762621037.7651432,23.326920986175537,332,481,92.4,311,5
1762621037.771638,23.333415746688843,333,482,92.6,312,5
1762621037.77843,23.340207815170288,334,483,92.8,313,5
1762621037.785006,23.346783876419067,335,484,93.0,314,5
1762621037.7914681,23.353245973587036,336,485,93.2,315,5
1762621037.797081,23.358858823776245,337,486,93.4,316,5
1762621037.801676,23.36345386505127,338,487,93.6,317,5
1762621037.8082151,23.369992971420288,339,488,93.8,318,5
1762621037.814373,23.376150846481323,340,489,94.0,319,5
